"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.91782665312288491676895318960305303335`16."	"4.78236561809776086330867089859910594528336773`26.*^-14"	1.8563929563757435e-15
"0.9204317896238922713791907881386578083`16."	"5.00645512036967277171656064641799893165605759`26.*^-14"	1.896142986761022e-15
"0.92303692612489940394482346164295449853`16."	"5.23990914105883337722013785182129962851392402`26.*^-14"	1.9362137240168155e-15
"0.92564206262590675855506106017855927348`16."	"5.483627693790419921663616544898756372752039`26.*^-14"	1.976591015821311e-15
"0.92824719912691400214299619619851000607`16."	"5.73750007120446242748055928165114727831080992`26.*^-14"	2.0172602208757326e-15
"0.93085233562792124573093133221846073866`16."	"6.00264802397810288957794807978171454799855883`26.*^-14"	2.0582062149716052e-15
"0.93345747212892848931886646823841147125`16."	"6.27835979522062882859099373123029623274441279`26.*^-14"	2.099413397747333e-15
"0.93606260862993573290680160425836220384`16."	"6.56627113547878310746227315166280002069686802`26.*^-14"	2.1408657001341048e-15
"0.93866774513094297649473674027831293643`16."	"6.86564832925775744283038044023703411600256415`26.*^-14"	2.1825465924898664e-15
"0.94127288163195022008267187629826366901`16."	"7.17842596303432214027627172249957270598199543`26.*^-14"	2.2244390934186874e-15
"0.9438780181329574636706070123182144016`16."	"7.50416189311673089278377969727027053342199054`26.*^-14"	2.266525779271576e-15
"0.94648315463396470725854214833816513419`16."	"7.84339328907204893589606362527627606953584325`26.*^-14"	2.3087887943233558e-15
"0.94908829113497206186877974687376990914`16."	"8.19668431707183164283267718019261419990535752`26.*^-14"	2.3512098616187716e-15
"0.95169342763597919443441242037806659937`16."	"8.5649228197555567789557145496729067099153928`26.*^-14"	2.3937702944795973e-15
"0.95429856413698654904465001891367137432`16."	"8.94853466761666220905940646339425827321901584`26.*^-14"	2.4364510086630514e-15
"0.95690370063799368161028269241796806455`16."	"9.34640807949267900472731249287442822635918342`26.*^-14"	2.4792325351601283e-15
"0.9595088371390010362205202909535728395`16."	"9.76205347162115023973615798240917028923766338`26.*^-14"	2.5220950336212086e-15
"0.96211397364000827980845542697352357209`16."	"1.019474776764967399034713980479510338603961555`26.*^-13"	2.56501830639446e-15
"0.96471911014101552339639056299347430468`16."	"1.064434191590313180922638542862748480058165042`26.*^-13"	2.6079818131611178e-15
"0.96732424664202287800662816152907907963`16."	"1.111300793285190607563844655806621823855454031`26.*^-13"	2.6509646861499694e-15
"0.96992938314303001057226083503337576985`16."	"1.160048751032569028218832248003816484935683754`26.*^-13"	2.6939457459117697e-15
"0.97253451964403736518249843356898054481`16."	"1.210661935799444996788618820381401655517196298`26.*^-13"	2.736903517632585e-15
"0.97513965614504449774813110707327723503`16."	"1.263405914919553782082891396467976367119113477`26.*^-13"	2.7798162479632512e-15
"0.97774479264605185235836870560888200998`16."	"1.318294714821067933887972714957207902692622176`26.*^-13"	2.8226619223404135e-15
"0.98034992914705898492400137911317870021`16."	"1.375269195127961655241470980793030541442863478`26.*^-13"	2.865418282772711e-15
"0.98295506564806633953423897764878347516`16."	"1.434603091093036873132031168068362234379869667`26.*^-13"	2.908062846063787e-15
"0.98556020214907358312217411366873420775`16."	"1.496257116328856944098842014597166169121088072`26.*^-13"	2.9505729224418314e-15
"0.98816533865008082671010924968868494034`16."	"1.560331723954454537548273153242723047567614901`26.*^-13"	2.9929256345633796e-15
"0.99077047515108807029804438570863567293`16."	"1.626995263721942192462560663336723172969354857`26.*^-13"	3.0350979368569158e-15
"0.99337561165209531388597952172858640552`16."	"1.696237356637822104637141283379018989196439861`26.*^-13"	3.0770666351697332e-15
"0.9959807481531025574739146577485371381`16."	"1.76812606613357081841554818080036602393244794`26.*^-13"	3.118808406679167e-15
"0.99858588465410980106184979376848787069`16."	"1.842890252912397372713369382347830669100369773`26.*^-13"	3.160299820026971e-15
"1.00119102115511715567208739230409264565`16."	"1.920561128809298989580997305061633947678887062`26.*^-13"	3.2015173556331253e-15
"1.00379615765612428823772006580838933587`16."	"2.001202202763359515639922922674870000443575166`26.*^-13"	3.2424374261426934e-15
"1.00640129415713164284795766434399411082`16."	"2.084920985654286776255564178649428918134324275`26.*^-13"	3.2830363969566906e-15
"1.00900643065813877541359033784829080105`16."	"2.171958461988954034772527111219590401418050071`26.*^-13"	3.323290606794744e-15
"1.011611567159146130023827936383895576`16."	"2.262203217075711371823848479384986469626122478`26.*^-13"	3.3631763882346806e-15
"1.01421670366015326258946060988819226623`16."	"2.356051814818181300312495799607619538685092106`26.*^-13"	3.4026700881701986e-15
"1.01682184016116061719969820842379704118`16."	"2.453334151231078098657817915548313506113914392`26.*^-13"	3.4417480881248673e-15
"1.0194269766621677497653308819280937314`16."	"2.554409943176689087607986981131950388133218151`26.*^-13"	3.480386824356435e-15
"1.02203211316317510437556848046369850636`16."	"2.659219640613477363435412860117888564606808794`26.*^-13"	3.5185628076815244e-15
"1.02463724966418245898580607899930328131`16."	"2.768003533901132665430599453241790716212787147`26.*^-13"	3.5562526429463044e-15
"1.02724238616518959155143875250359997153`16."	"2.880920939942026750333824914484752871529910474`26.*^-13"	3.5934330480639176e-15
"1.02984752266619672411707142600789666176`16."	"2.998019213724492860043569287224359731074571622`26.*^-13"	3.630080872534239e-15
"1.03245265916720407872730902454350143671`16."	"3.119500316554179692832939088927866443997011574`26.*^-13"	3.666173115355883e-15
"1.03505779566821143333754662307910621166`16."	"3.245495623898467485967912732540620847839046184`26.*^-13"	3.701686942234216e-15
"1.03766293216921856590317929658340290189`16."	"3.376234993863250126402111572813261047205370843`26.*^-13"	3.736599701982343e-15
"1.04026806867022592051341689511900767684`16."	"3.511767052037099663450518516915433243201998921`26.*^-13"	3.770888942004728e-15
"1.04287320517123305307904956862330436707`16."	"3.652271515419519157840693137837876978637432404`26.*^-13"	3.804532422745072e-15
"1.04547834167224040768928716715890914202`16."	"3.797818263482644126136512499712072758372004319`26.*^-13"	3.837508130971107e-15
"1.04808347817324776229952476569451391697`16."	"3.948834281047486199578952923119427686529582682`26.*^-13"	3.869794291759469e-15
"1.05068861467425489486515743919881060719`16."	"4.105228918990723089445902265150037016535882365`26.*^-13"	3.901369379033006e-15
"1.05329375117526202743079011270310729742`16."	"4.267381715751686409918668666589154506745973511`26.*^-13"	3.932212124491261e-15
"1.05589888767626938204102771123871207237`16."	"4.435350760059831440662392321006681219710038563`26.*^-13"	3.962301524762088e-15
"1.05850402417727673665126530977431684732`16."	"4.609499710503749799403936804684402724559209584`26.*^-13"	3.99161684658795e-15
"1.06110916067828409126150290830992162228`16."	"4.789792695680098538498361725439570120405792011`26.*^-13"	4.020137629845379e-15
"1.0637142971792912238271355818142183125`16."	"4.976660012954026078750434237269558600262561387`26.*^-13"	4.047843688178368e-15
"1.06631943368029835639276825531851500273`16."	"5.170022358370797527579346337476451624003613909`26.*^-13"	4.074715107008088e-15
"1.06892457018130571100300585385411977768`16."	"5.370286582696551150076083266665889421570514882`26.*^-13"	4.100732238660359e-15
"1.07152970668231306561324345238972455263`16."	"5.577835797911431108685991185807875868398115899`26.*^-13"	4.125875694329369e-15
"1.07413484318332019817887612589402124286`16."	"5.792473436243644149495006217556998955055362964`26.*^-13"	4.150126332571303e-15
"1.07673997968432755278911372442962601781`16."	"6.014870868916935253205670184793299386397103514`26.*^-13"	4.17346524399342e-15
"1.07934511618533468535474639793392270803`16."	"6.244926832534200614264591610869613743641614302`26.*^-13"	4.19587373177387e-15
"1.08195025268634203996498399646952748299`16."	"6.483111635349853738864626074700404365441855283`26.*^-13"	4.217333287614106e-15
"1.08455538918734917253061666997382417321`16."	"6.729570546054322660792029968451621099697649326`26.*^-13"	4.237825562688351e-15
"1.08716052568835652714085426850942894816`16."	"6.984453074668206896842053793938395624725461539`26.*^-13"	4.257332333114468e-15
