"alpha"	"CF_Gamma"	"Hydro_Gamma"
"2.09431438127090308043420918693300336599`16."	"1.5001672942896530851500702319014534960284003655`29.*^-11"	7.283640538756288e-18
"2.10133779264214037851843386306427419186`16."	"1.56933307276571413749747023898725258558949600933`29.*^-11"	6.225205867581771e-18
"2.10836120401337812069186838925816118717`16."	"1.64112178191640188857605058247913085688920512541`29.*^-11"	5.345575603354762e-18
"2.11538461538461586286530291545204818249`16."	"1.71561890567914418043218109260608007108883882458`29.*^-11"	4.621114366218934e-18
"2.1224080267558527168603177415207028389`16."	"1.79288504455553004703445347968674867769607204545`29.*^-11"	4.031926627837485e-18
"2.12943143812709045903375226771458983421`16."	"1.87301320625321008817103608497247106677820651365`29.*^-11"	3.56168901979774e-18
"2.13645484949832820120718679390847682953`16."	"1.95604527912182134643402047402718816103305426144`29.*^-11"	3.1975427109526775e-18
"2.14347826086956505520220161997713148594`16."	"2.04207525212689774724636911269755935548996662515`29.*^-11"	2.9300615719669386e-18
"2.15050167224080279737563614617101848125`16."	"2.13115289970578472327056989198128689247084031286`29.*^-11"	2.7533138866042065e-18
"2.15752508361204053954907067236490547657`16."	"2.22338732577742086971858264491872648005448042448`29.*^-11"	2.6650377292970587e-18
"2.16454849498327739354408549843356013298`16."	"2.31882861908399559720123375777381086971392913156`29.*^-11"	2.666952620574777e-18
"2.1715719063545151357175200246274471283`16."	"2.41754933621551813612152040620050399123991535676`29.*^-11"	2.7652323409238724e-18
"2.17859531772575287789095455082133412361`16."	"2.51961882291599339663750686545836756092860289764`29.*^-11"	2.9711652243969874e-18
"2.18561872909699017597517922695260494947`16."	"2.62512443681917128846119502260283072301616740978`29.*^-11"	3.302027896516573e-18
"2.19264214046822747405940390308387577534`16."	"2.73412113856821025683508648891533822187712618395`29.*^-11"	3.782194776907426e-18
"2.19966555183946521623283842927776277065`16."	"2.84668897211592963712953280751358483615040052853`29.*^-11"	4.444496512551783e-18
"2.20668896321070251431706310540903359652`16."	"2.96290575374503851360651931794315190136165312744`29.*^-11"	5.331822600358775e-18
"2.21371237458193981240128778154030442238`16."	"3.08280477351421208544529091024100553392773147601`29.*^-11"	6.4989321559607175e-18
"2.22073578595317755457472230773419141769`16."	"3.2065079048504503962595808752268865672848006128`29.*^-11"	8.01438554571613e-18
