"alpha"	"CF_Gamma"	"Hydro_Gamma"
"1.56073578595317725757103347802587395381`16."	"2.413477114399203073612771181953654577815152265792`25.*^-10"	2.39599268133321e-14
"1.5673913043478260870017753950254819242`16."	"2.559402966607175319210969227642052703454641150828`25.*^-10"	2.1289637699793412e-14
"1.5740468227424749164325173120250898946`16."	"2.713073003826541203137489993312341997858212465306`25.*^-10"	1.8854896074636877e-14
"1.58070234113712374586325922902469786499`16."	"2.874829029135071268803551241916366315515066380211`25.*^-10"	1.6644122919054577e-14
"1.58735785953177257529400114602430583539`16."	"3.045024706623263676313542515140311194247757091294`25.*^-10"	1.4645108118490975e-14
"1.59401337792642140472474306302391380579`16."	"3.224024438701688341034842243100917170528175689076`25.*^-10"	1.2845193560844923e-14
"1.60066889632107023415548498002352177619`16."	"3.412203948035549651902161832146973721788328287142`25.*^-10"	1.1231448766184353e-14
"1.60732441471571906358622689702312974658`16."	"3.609949420304951611080240255145771328305077854741`25.*^-10"	9.790836750646054e-15
"1.61397993311036789301696881402273771698`16."	"3.81765948888443048020599229722047135715317959997`25.*^-10"	8.510368158434613e-15
"1.62063545150501672244771073102234568738`16."	"4.035741889007233353705041851910428942605121819582`25.*^-10"	7.377242065889997e-15
"1.62729096989966555187845264802195365778`16."	"4.264615531117011344303704449494461702284745378673`25.*^-10"	6.3789722607135515e-15
"1.63394648829431438130919456502156162817`16."	"4.504711001134896803614625717233371680350351034161`25.*^-10"	5.5034982167574085e-15
"1.64060200668896321073993648202116959857`16."	"4.756467232399947385978945897070777821827238672799`25.*^-10"	4.7392804083969304e-15
"1.64725752508361204017067839902077756897`16."	"5.020336923320817440258864053311927367159508414916`25.*^-10"	4.075380025427245e-15
"1.65391304347826086960142031602038553936`16."	"5.296779178777781768342715649234836566724799928876`25.*^-10"	3.5015235452860046e-15
"1.66056856187290969903216223301999350976`16."	"5.586262885855932709916628874983908749409313208939`25.*^-10"	3.0081529778480983e-15
"1.66722408026755852846290415001960148015`16."	"5.889267005943955307980084579691767599556806089672`25.*^-10"	2.5864628995879536e-15
"1.67387959866220735789364606701920945055`16."	"6.206278327735027587384884520219798990200050830161`25.*^-10"	2.2284256141769284e-15
"1.68053511705685618732438798401881742095`16."	"6.53779025329562450900613705417399502669073683267`25.*^-10"	1.9268058835246887e-15
"1.68719063545150501675512990101842539135`16."	"6.884300116336627061505210860496128968359602326381`25.*^-10"	1.6751666231940031e-15
"1.69384615384615384618587181801803336174`16."	"7.246309658310743854272300212465322949097840088111`25.*^-10"	1.4678666880681271e-15
"1.70050167224080267561661373501764133214`16."	"7.624319355433918860364920811314415036129702161629`25.*^-10"	1.300051302245695e-15
"1.70715719063545150504735565201724930254`16."	"8.018821544340109669418528272611487205134478438686`25.*^-10"	1.167634690211623e-15
"1.71381270903010033447809756901685727293`16."	"8.430291269657061698527575495386752618028787911324`25.*^-10"	1.0672728742874598e-15
"1.72046822742474916390883948601646524333`16."	"8.859163248721975744331104489470703917055756358021`25.*^-10"	9.963221793755625e-16
"1.72712374581939799333958140301607321373`16."	"9.305805065793145435921893880890913425888589120578`25.*^-10"	9.527754036296903e-16
"1.73377926421404682277032332001568118412`16."	"9.770447629839332939428114289862118302161156494701`26.*^-10"	9.35162427686072e-16
"1.74043478260869565220106523701528915452`16."	"1.0253091811815815225889286437040292728823201456`26.*^-9"	9.423946447006459e-16
"1.74709030100334448163180715401489712492`16."	"1.0753308033984370226349241539802689947139386606049`26.*^-9"	9.735221963486584e-16
"1.75374581939799331106254907101450509531`16."	"1.1269910323603719431365914772055153507834180478354`26.*^-9"	1.0273585352091448e-15
